,Rented Bike Count,Temperature(Â°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(Â°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Time,FunctioningDay0,FunctioningDay1,Holiday0,Holiday1,Season0,Season1,Season2,Season3
34,334,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,2017-12-02 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
35,388,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,2017-12-02 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
36,479,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,2017-12-02 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
37,606,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,2017-12-02 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
38,611,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,2017-12-02 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
39,589,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,2017-12-02 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
40,618,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,2017-12-02 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
41,572,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,2017-12-02 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
42,489,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,2017-12-02 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
43,385,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,2017-12-02 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
44,359,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,2017-12-02 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
45,377,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,2017-12-02 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
46,354,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,2017-12-02 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
47,366,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,2017-12-02 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
48,342,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,2017-12-03 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
49,227,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,2017-12-03 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
50,228,3.3,79,1.4,830,0.0,0.0,0.0,0.0,2017-12-03 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
51,117,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,2017-12-03 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
52,76,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,2017-12-03 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
53,32,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,2017-12-03 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
54,13,3.4,86,2.5,278,1.2,0.0,1.0,0.0,2017-12-03 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
55,22,3.1,91,1.2,129,1.7,0.0,0.0,0.0,2017-12-03 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
56,85,3.2,92,1.8,244,2.0,0.0,0.0,0.0,2017-12-03 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
57,152,3.5,91,1.8,231,2.1,0.02,2.5,0.0,2017-12-03 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
58,200,4.4,89,2.2,257,2.7,0.24,0.0,0.0,2017-12-03 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
59,273,5.1,87,1.4,321,3.1,0.25,0.0,0.0,2017-12-03 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
60,333,5.8,85,1.7,349,3.4,0.43,0.0,0.0,2017-12-03 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
61,495,6.8,81,1.9,390,3.7,0.6,0.0,0.0,2017-12-03 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
62,563,7.6,76,1.2,422,3.6,0.69,0.0,0.0,2017-12-03 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
63,621,8.0,73,1.6,433,3.4,0.53,0.0,0.0,2017-12-03 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
64,598,7.6,77,1.6,399,3.8,0.2,0.0,0.0,2017-12-03 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
65,545,6.7,82,1.5,358,3.8,0.05,0.0,0.0,2017-12-03 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
66,443,6.0,84,1.9,327,3.4,0.0,0.0,0.0,2017-12-03 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
67,422,5.7,85,1.7,309,3.3,0.0,0.0,0.0,2017-12-03 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
68,397,5.2,87,1.4,253,3.2,0.0,0.0,0.0,2017-12-03 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
69,385,4.7,87,1.2,247,2.7,0.0,0.0,0.0,2017-12-03 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
70,350,4.3,89,1.8,201,2.6,0.0,0.0,0.0,2017-12-03 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
71,303,3.9,90,1.3,194,2.4,0.0,0.0,0.0,2017-12-03 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
72,285,4.2,88,0.6,216,2.3,0.0,0.0,0.0,2017-12-04 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
73,186,4.3,87,0.5,221,2.3,0.0,0.0,0.0,2017-12-04 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
74,112,4.4,87,1.8,207,2.4,0.0,0.0,0.0,2017-12-04 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
75,65,3.6,85,2.3,206,1.3,0.0,0.0,0.0,2017-12-04 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
76,41,2.8,89,1.5,130,1.1,0.0,0.0,0.0,2017-12-04 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
77,82,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,2017-12-04 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
78,200,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,2017-12-04 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
79,498,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,2017-12-04 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
80,937,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,2017-12-04 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
81,509,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,2017-12-04 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
82,311,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,2017-12-04 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
83,379,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,2017-12-04 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
84,393,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,2017-12-04 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
85,391,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,2017-12-04 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
86,338,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,2017-12-04 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
87,341,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,2017-12-04 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
88,375,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,2017-12-04 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
89,515,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,2017-12-04 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
90,807,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,2017-12-04 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
91,568,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,2017-12-04 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
92,398,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,2017-12-04 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
93,397,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,2017-12-04 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
94,353,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,2017-12-04 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
95,248,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,2017-12-04 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
96,216,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,2017-12-05 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
97,198,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,2017-12-05 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
98,124,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,2017-12-05 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
99,62,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,2017-12-05 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
100,42,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,2017-12-05 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
101,82,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,2017-12-05 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
102,172,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,2017-12-05 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
103,381,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,2017-12-05 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
104,812,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,2017-12-05 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
105,462,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,2017-12-05 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
106,269,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,2017-12-05 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
107,334,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,2017-12-05 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
108,321,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,2017-12-05 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
109,325,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,2017-12-05 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
110,334,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,2017-12-05 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
111,353,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,2017-12-05 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
112,435,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,2017-12-05 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
113,529,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,2017-12-05 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
114,789,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,2017-12-05 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
115,597,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,2017-12-05 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
116,418,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,2017-12-05 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
117,415,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,2017-12-05 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
118,393,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,2017-12-05 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
119,244,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,2017-12-05 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
120,145,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,2017-12-06 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
121,144,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,2017-12-06 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
122,117,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,2017-12-06 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
123,78,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,2017-12-06 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
124,58,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,2017-12-06 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
125,87,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,2017-12-06 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
126,142,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,2017-12-06 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
127,379,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,2017-12-06 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
128,802,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,2017-12-06 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
129,440,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,2017-12-06 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
130,307,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,2017-12-06 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
131,381,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,2017-12-06 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
132,405,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,2017-12-06 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
133,442,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,2017-12-06 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
134,416,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,2017-12-06 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
135,412,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,2017-12-06 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
136,496,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,2017-12-06 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
137,239,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,2017-12-06 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
138,204,1.7,90,1.0,66,0.2,0.0,0.3,0.3,2017-12-06 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
139,205,1.2,92,0.7,180,0.0,0.0,0.0,1.0,2017-12-06 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
140,190,1.2,94,0.6,228,0.3,0.0,0.0,1.0,2017-12-06 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
141,165,1.1,92,0.5,235,0.0,0.0,0.7,1.0,2017-12-06 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
142,222,1.3,92,0.6,233,0.1,0.0,0.0,1.0,2017-12-06 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
143,193,1.3,92,0.6,209,0.1,0.0,0.0,1.0,2017-12-06 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
144,198,1.4,92,0.5,240,0.2,0.0,0.0,0.9,2017-12-07 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
145,218,1.5,92,0.4,227,0.3,0.0,0.0,0.9,2017-12-07 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
146,149,1.4,92,0.7,168,0.2,0.0,0.0,0.9,2017-12-07 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
147,102,1.9,91,1.4,218,0.5,0.0,0.0,0.9,2017-12-07 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
148,62,1.6,92,0.7,119,0.4,0.0,0.0,0.9,2017-12-07 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
149,83,1.5,92,1.1,175,0.3,0.0,0.0,0.9,2017-12-07 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
150,137,1.0,93,0.5,148,0.0,0.0,0.0,0.9,2017-12-07 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
151,367,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,2017-12-07 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
152,754,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,2017-12-07 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
153,415,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,2017-12-07 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
154,321,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,2017-12-07 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
155,333,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,2017-12-07 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
156,431,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,2017-12-07 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
157,394,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,2017-12-07 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
158,390,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,2017-12-07 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
159,430,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,2017-12-07 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
160,471,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,2017-12-07 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,552,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,2017-12-07 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
162,795,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,2017-12-07 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
163,507,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,2017-12-07 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
164,390,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,2017-12-07 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
165,402,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,2017-12-07 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
166,389,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,2017-12-07 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
167,259,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,2017-12-07 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
168,233,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,2017-12-08 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
169,230,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,2017-12-08 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
170,131,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,2017-12-08 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
171,99,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,2017-12-08 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
172,71,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,2017-12-08 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
